Employee_ID,First_Name,Last_Name,Email,Phone,Department,Job_Title,Salary,Joining_Date,City
1001,Joshua,Bhat,dakshdeshmukh@example.com,+918432178907,Marketing,HR Executive,76775,2023-01-23,Mumbai
1002,Parth,Mittal,girish35@example.net,+917264456495,Sales,Data Analyst,89661,2026-01-02,Pune
1003,Ronith,Khare,triya76@example.org,07100054839,Human Resources,Sales Executive,61303,2023-05-27,Bengaluru
1004,Aarna,Suresh,hwable@example.com,+913347698680,Finance,Marketing Executive,31896,2023-12-10,Pune
1005,Nihal,Dugar,girindra53@example.com,+917113970755,IT,HR Executive,41315,2025-12-28,Delhi
1006,Gagan,Mishra,umani@example.org,06037451657,Operations,Marketing Executive,61341,2024-10-13,Hyderabad
1007,Warinder,Bhatia,ldani@example.org,01001032878,Human Resources,Sales Executive,97035,2021-11-10,Pune
1008,Manthan,Sodhi,matthew07@example.net,6846363459,Marketing,Data Analyst,26775,2023-05-28,Hyderabad
1009,Anita,Raja,bajajnisha@example.org,3136049415,Operations,Data Analyst,101561,2022-06-30,Mumbai
1010,Advay,Golla,malhotrawriddhish@example.com,04771448033,IT,Sales Executive,63365,2025-08-03,Bengaluru
1011,Siddharth,Raghavan,amarasura@example.net,07301381213,Marketing,Software Engineer,94785,2021-10-02,Jaipur
1012,Jhalak,Lad,srinivasannitesh@example.com,7470899819,Sales,Software Engineer,65650,2024-06-28,Bengaluru
1013,Anay,Bhattacharyya,fpurohit@example.net,+917755465541,Marketing,Software Engineer,65613,2023-04-07,Bengaluru
1014,Megha,Aggarwal,rajshravya@example.net,05066071131,Human Resources,Finance Analyst,110426,2023-07-20,Delhi
1015,Nihal,Sibal,kde@example.com,+910582336121,Sales,Sales Executive,109883,2022-12-16,Bengaluru
1016,Harish,Barman,parekhavni@example.com,8750932791,Sales,Software Engineer,66229,2025-07-26,Pune
1017,Anusha,Raju,binabora@example.org,+914584024887,Marketing,Software Engineer,37920,2022-10-23,Mumbai
1018,Prisha,Balay,karanharrison@example.net,1745304601,Human Resources,Software Engineer,116627,2023-09-22,Jaipur
1019,Xiti,Pathak,handawishi@example.org,2900839100,Finance,Software Engineer,46628,2021-12-02,Jaipur
1020,Wridesh,Badal,neha72@example.net,8601374927,Marketing,Sales Executive,72659,2026-01-30,Pune
1021,Lajita,Ray,anaybajaj@example.com,08915445195,IT,Finance Analyst,52933,2025-11-06,Pune
1022,Ladli,Oak,matthew79@example.com,+911433688538,Marketing,Software Engineer,59147,2023-01-13,Jaipur
1023,Yashvi,Pall,kdua@example.net,07502086031,Operations,Marketing Executive,83790,2023-07-20,Delhi
1024,Radhika,Agarwal,jedwin@example.net,4692133197,Human Resources,Marketing Executive,110380,2024-10-29,Hyderabad
1025,Gautami,Sankar,choudharybhavna@example.net,03275965491,Human Resources,HR Executive,118061,2025-09-12,Delhi
1026,Odika,Datta,sankaranaarna@example.net,+916325959429,Operations,Sales Executive,108508,2022-09-18,Jaipur
1027,Harshil,Nayar,gabriel13@example.net,05222020020,Operations,HR Executive,82073,2025-09-08,Jaipur
1028,Abhiram,Handa,vbhat@example.org,04687944869,Marketing,Software Engineer,41264,2025-07-14,Pune
1029,Balendra,Sangha,krishnabumb@example.net,02766179930,Sales,Sales Executive,104895,2023-11-03,Bengaluru
1030,Isha,Parmar,pallagaurav@example.org,09177355658,IT,Marketing Executive,64721,2026-04-20,Mumbai
1031,Chandran,Dubey,esheth@example.org,01719713254,IT,Software Engineer,95377,2023-02-16,Delhi
1032,Janya,Tripathi,falakwason@example.org,03131329776,Operations,Marketing Executive,94855,2025-10-05,Mumbai
1033,Gauri,Dixit,upandya@example.com,+913453744514,Marketing,Software Engineer,35968,2024-03-15,Bengaluru
1034,Nakul,Doctor,hariwahab@example.com,+915515310790,Marketing,Software Engineer,105766,2024-05-07,Hyderabad
1035,Yochana,Morar,aparekh@example.net,09305182584,IT,HR Executive,88605,2025-12-15,Hyderabad
1036,Raagini,Sood,advikbedi@example.net,01343824707,Finance,Sales Executive,65120,2025-07-21,Pune
1037,Zaitra,Goswami,omisha67@example.org,06802832690,Marketing,Data Analyst,43578,2024-07-30,Jaipur
1038,Lila,Jani,andrew21@example.com,+917427780645,Operations,Data Analyst,77378,2024-07-10,Jaipur
1039,Jasmit,Cherian,mahalharsh@example.com,+918350662552,IT,Software Engineer,104865,2025-01-05,Jaipur
1040,Yauvani,Mand,meeraissac@example.com,03846827635,IT,Finance Analyst,73229,2024-10-05,Delhi
1041,Jalsa,Sarma,jagat62@example.org,0288532178,Finance,Data Analyst,27913,2022-05-15,Bengaluru
1042,Jack,Rajagopal,chadhareva@example.org,01160780922,IT,HR Executive,60957,2024-10-19,Jaipur
1043,Raagini,Rajagopal,rajchasmum@example.org,00969452530,IT,Software Engineer,86754,2024-07-20,Delhi
1044,Kashish,Kothari,abalakrishnan@example.net,8427780199,IT,Finance Analyst,93667,2025-09-01,Jaipur
1045,Bhavika,Merchant,zilmilbuch@example.com,05575698389,IT,Sales Executive,76295,2024-05-29,Jaipur
1046,Qasim,Pandit,victor23@example.com,+911870608611,Human Resources,Software Engineer,115997,2022-11-11,Mumbai
1047,Reva,Rau,yashvisarkar@example.com,6338406379,Human Resources,Finance Analyst,105440,2022-11-28,Delhi
1048,Ryan,Lall,jairattan@example.org,05889119791,Human Resources,Sales Executive,111181,2026-02-22,Jaipur
1049,Upma,Rama,xbir@example.net,+915071112489,Finance,Finance Analyst,59279,2022-06-19,Jaipur
1050,Vanya,Sangha,nathan56@example.org,9742890173,Human Resources,Data Analyst,117664,2022-04-01,Delhi
